field,zero_shot,v4,v5,v6,v7,v7_scale_x3,n
game_t,0.30,0.993,0.990,0.993,0.994,0.994,860
alive,0.99,0.994,0.994,0.994,0.994,0.994,860
hp,0.01,0.990,0.987,0.992,0.988,0.993,860
signal,0.00,0.999,0.999,0.999,1.000,1.000,860
energy,0.01,0.968,0.961,0.967,0.975,0.975,813
ammo_mag,0.67,0.990,0.988,0.990,0.983,0.986,860
scope,0.97,1.000,1.000,1.000,0.999,0.999,860
helmet,0.06,0.972,0.970,0.951,0.955,0.955,860
armor,0.10,0.529,0.516,0.736,0.734,0.714,860
zone_countdown,0.97,1.000,1.000,0.999,0.994,0.998,860
zone_dist_m,0.95,1.000,1.000,1.000,1.000,0.998,860
in_vehicle,0.85,1.000,1.000,1.000,1.000,1.000,860
stance,0.93,0.985,0.985,0.985,0.980,0.979,860
compass,0.85,0.926,0.926,0.929,0.928,0.926,860
supplies,0.03,0.974,0.992,0.963,0.991,0.991,860
team_panel,0.88,0.928,0.937,0.943,0.929,0.928,860
weapon_slot1,0.23,0.894,0.959,0.777,0.954,0.793,786
weapon_slot2,0.00,0.412,0.435,0.483,0.663,0.663,600
banner,0.97,0.986,0.988,0.988,0.980,0.986,860
killfeed,0.85,0.981,0.978,0.978,0.980,0.978,860
team_msgs,0.94,0.988,0.987,0.978,0.976,0.956,860
MEAN21,,0.9290,0.9330,0.9355,0.9523,0.9431,
FRAME_EXACT,,0.252,0.283,0.301,0.444,0.334,
