field,S1_crop,S2_patch,S3_region,S4_whole,n
game_t,0.995,0.991,0.991,0.977,215
alive,0.995,0.995,0.995,0.995,215
hp,0.977,0.959,0.963,0.833,215
signal,1.000,0.995,1.000,0.981,215
energy,0.960,0.884,0.901,0.906,202
ammo_mag,0.963,0.922,0.930,0.865,215
scope,1.000,1.000,1.000,0.995,215
helmet,0.995,0.986,0.991,0.986,215
armor,0.986,0.569,0.516,0.386,215
zone_countdown,1.000,1.000,0.995,0.995,215
zone_dist_m,0.930,0.937,0.916,0.847,215
in_vehicle,1.000,1.000,1.000,1.000,215
stance,1.000,1.000,1.000,0.995,215
compass,0.977,0.967,0.967,0.972,215
supplies,0.442,0.233,0.298,0.181,215
team_panel,1.000,0.984,0.991,0.991,215
weapon_slot1,0.983,0.945,0.933,0.889,180
weapon_slot2,0.798,0.733,0.711,0.613,173
banner,0.991,0.983,0.981,0.977,215
killfeed,0.977,0.942,0.986,0.977,215
team_msgs,0.977,0.973,0.972,0.995,215
MEAN21,0.950,0.905,0.907,0.874,
